x,y,z,policyname,LR,gamma,batch_size,runtime,turnspc,trialv,ncpu
20,20,6,CnnPolicy,0.01,0.995,N/A,41400,0.2,9act02,1
20,20,6,CnnPolicy,0.001,0.995,N/A,41400,0.2,9act02,1
20,20,6,CnnPolicy,0.0001,0.995,N/A,41400,0.2,9act02,1
20,20,6,CnnPolicy,0.00001,0.995,N/A,41400,0.2,9act02,1
20,20,6,CnnPolicy,0.01,0.995,N/A,41400,0.1,9act01,1
20,20,6,CnnPolicy,0.001,0.995,N/A,41400,0.1,9act01,1
20,20,6,CnnPolicy,0.0001,0.995,N/A,41400,0.1,9act01,1
20,20,6,CnnPolicy,0.00001,0.995,N/A,41400,0.1,9act01,1
20,20,6,CnnPolicy,0.01,0.995,N/A,41400,0.05,9act005,1
20,20,6,CnnPolicy,0.001,0.995,N/A,41400,0.05,9act005,1
20,20,6,CnnPolicy,0.0001,0.995,N/A,41400,0.05,9act005,1
20,20,6,CnnPolicy,0.00001,0.995,N/A,41400,0.05,9act005,1
