x,y,z,policyname,LR,gamma,batch_size,runtime,turnspc,trialv,ncpu
20,20,6,MlpPolicy,0.01,0.99,N/A,25200,0.1,loadenv10,1
20,20,6,MlpPolicy,0.01,0.99,N/A,25200,0.2,loadenv20,1
20,20,6,MlpPolicy,0.001,0.99,N/A,25200,0.1,loadenv10,1
20,20,6,MlpPolicy,0.001,0.99,N/A,25200,0.2,loadenv20,1
20,20,6,MlpPolicy,0.0001,0.99,N/A,25200,0.1,loadenv10,1
20,20,6,MlpPolicy,0.0001,0.99,N/A,14400,0.2,loadenv20,1
20,20,6,MlpPolicy,0.01,0.95,N/A,25200,0.1,loadenv10,1
20,20,6,MlpPolicy,0.01,0.95,N/A,25200,0.2,loadenv20,1
20,20,6,MlpPolicy,0.001,0.95,N/A,25200,0.1,loadenv10,1
20,20,6,MlpPolicy,0.001,0.95,N/A,25200,0.2,loadenv20,1
20,20,6,MlpPolicy,0.0001,0.95,N/A,25200,0.1,loadenv10,1
20,20,6,MlpPolicy,0.0001,0.95,N/A,25200,0.2,loadenv20,1
